i	X	R	MACH	THETA	massflow
214	0.661041	0.287131	1.49869	3.14755	0.0397792
215	0.663947	0.282473	1.49996	3.09538	0.0384671
216	0.665396	0.277828	1.49993	3.036	0.0372022
217	0.666837	0.273199	1.49993	2.97726	0.0359624
218	0.66827	0.268584	1.49997	2.91916	0.0347477
219	0.668983	0.263984	1.49939	2.8582	0.0335669
220	0.670399	0.2594	1.49948	2.80142	0.0324017
221	0.671808	0.254832	1.49961	2.74526	0.0312613
222	0.673209	0.250281	1.49976	2.68971	0.0301457
223	0.674602	0.245747	1.49994	2.63477	0.0290546
224	0.675295	0.241231	1.49952	2.57739	0.0279952
225	0.676671	0.236733	1.49975	2.52371	0.0269527
226	0.677356	0.232254	1.49939	2.46773	0.0259409
227	0.678715	0.227794	1.49967	2.41528	0.0249463
228	0.680066	0.223353	1.49998	2.3634	0.0239757
229	0.680738	0.218933	1.4997	2.30945	0.0230345
230	0.681405	0.214533	1.49945	2.2562	0.0221163
231	0.682729	0.210154	1.49982	2.20612	0.021216
232	0.683387	0.205797	1.49961	2.15418	0.0203437
233	0.684041	0.201462	1.49943	2.10291	0.019494
234	0.685338	0.19715	1.49986	2.05457	0.0186624
235	0.685982	0.19286	1.49973	2.00457	0.0178576
236	0.686622	0.188595	1.49961	1.95521	0.0170749
237	0.687257	0.184354	1.49952	1.90649	0.0163139
238	0.687887	0.180137	1.49945	1.8584	0.0155747
239	0.689137	0.175946	1.49996	1.81286	0.0148535
240	0.689757	0.17178	1.49992	1.76596	0.0141571
241	0.690373	0.167641	1.49991	1.71966	0.0134817
242	0.690983	0.163529	1.49991	1.67396	0.0128271
243	0.691589	0.159445	1.49992	1.62886	0.012193
244	0.692189	0.155388	1.49996	1.58434	0.0115793
245	0.692487	0.151361	1.49974	1.53961	0.0109867
246	0.693076	0.147362	1.4998	1.49626	0.0104127
247	0.693661	0.143393	1.49988	1.45347	0.00985824
248	0.69424	0.139455	1.49997	1.41124	0.00932309
249	0.694527	0.135548	1.49982	1.36889	0.00880784
250	0.695095	0.131672	1.49994	1.32777	0.00831039
251	0.695377	0.127829	1.49981	1.28658	0.00783218
252	0.695934	0.124019	1.49995	1.24655	0.00737132
253	0.69621	0.120242	1.49986	1.20649	0.00692902
254	0.696482	0.116499	1.49977	1.167	0.00650422
255	0.697022	0.112792	1.49994	1.12859	0.00609606
256	0.697289	0.10912	1.49989	1.0902	0.00570542
257	0.697553	0.105484	1.49984	1.05236	0.00533139
258	0.697814	0.101886	1.4998	1.01507	0.00497365
259	0.698072	0.0983246	1.49978	0.978331	0.00463188
260	0.698581	0.0948022	1.49999	0.942539	0.00430541
261	0.698833	0.091319	1.49998	0.906861	0.00399469
262	0.699081	0.0878758	1.49999	0.871721	0.00369899
263	0.699326	0.0844735	1.5	0.837117	0.00341796
264	0.699447	0.0811128	1.49991	0.802881	0.00315141
265	0.699686	0.0777946	1.49994	0.769351	0.00289872
266	0.699921	0.0745198	1.49998	0.736355	0.00265969
267	0.700037	0.0712893	1.49992	0.703753	0.00243407
268	0.700265	0.0681039	1.49996	0.671832	0.00222131
269	0.700377	0.0649647	1.49992	0.640324	0.00202123
270	0.700598	0.0618726	1.49998	0.609485	0.00183332
271	0.700707	0.0588288	1.49995	0.57908	0.00165735
272	0.700814	0.0558341	1.49993	0.549233	0.0014929
273	0.700918	0.0528898	1.49992	0.519949	0.00133958
274	0.701124	0.0499971	1.5	0.49132	0.00119699
275	0.701225	0.047157	1.49999	0.463172	0.00106485
276	0.701324	0.044371	1.5	0.435604	0.000942733
277	0.701373	0.0416403	1.49996	0.408591	0.000830269
278	0.701467	0.0389664	1.49997	0.382209	0.000727049
279	0.70156	0.0363508	1.49999	0.356434	0.000632706
280	0.701605	0.033795	1.49997	0.33125	0.000546861
281	0.701693	0.0313007	1.49999	0.306723	0.000469107
282	0.701736	0.0288697	1.49998	0.282818	0.000399069
283	0.701778	0.026504	1.49997	0.259576	0.000336344
284	0.701819	0.0242056	1.49997	0.237013	0.000280537
285	0.701858	0.0219768	1.49997	0.215149	0.000231252
286	0.701896	0.0198201	1.49998	0.194004	0.00018809
287	0.701932	0.0177382	1.49998	0.173602	0.00015065
288	0.701968	0.0157341	1.49999	0.153971	0.00011853
289	0.701984	0.0138111	1.49999	0.135138	9.13269e-05
290	0.702017	0.0119729	1.5	0.117144	6.86345e-05
291	0.702024	0.010224	1.49999	0.100024	5.00476e-05
292	0.702039	0.00856924	1.5	0.0838309	3.51581e-05
293	0.702053	0.00701454	1.5	0.068619	2.3558e-05
294	0.702059	0.00556695	1.5	0.0544563	1.4838e-05
295	0.702062	0.00423524	1.5	0.0414283	8.58808e-06
296	0.702067	0.00303068	1.5	0.0296451	4.39763e-06
297	0.702069	0.00196858	1.5	0.0192558	1.85543e-06
298	0.70207	0.0010716	1.5	0.0104818	5.49794e-07
299	0.702071	0.000378874	1.5	0.00370596	6.87271e-08
300	0.702071	0	1.5	0	0
