i	j	x	r	mach	theta	press	temp	Massflow
239	0	0.682676	0.175946	1.42728	1.63025	135.637	1845.89	0.311585
240	0	0.687167	0.17178	1.43022	1.59976	135.07	1844.12	0.296532
241	0	0.691642	0.167641	1.43317	1.56914	134.505	1842.36	0.281962
242	0	0.696102	0.163529	1.43611	1.53838	133.942	1840.59	0.267869
243	0	0.700545	0.159445	1.43906	1.50751	133.381	1838.83	0.254246
244	0	0.70497	0.155388	1.442	1.47651	132.821	1837.06	0.241086
245	0	0.709376	0.151361	1.44494	1.44541	132.264	1835.3	0.228383
246	0	0.713763	0.147362	1.44787	1.41421	131.71	1833.54	0.216128
247	0	0.718129	0.143393	1.4508	1.38292	131.158	1831.78	0.204315
248	0	0.722474	0.139455	1.45373	1.35155	130.608	1830.02	0.192936
249	0	0.726796	0.135548	1.45665	1.3201	130.062	1828.27	0.181984
250	0	0.731096	0.131672	1.45956	1.28859	129.519	1826.52	0.171453
251	0	0.73537	0.127829	1.46247	1.25702	128.979	1824.78	0.161333
252	0	0.73962	0.124019	1.46536	1.22541	128.442	1823.05	0.151617
253	0	0.743842	0.120242	1.46824	1.19377	127.909	1821.31	0.142298
254	0	0.748038	0.116499	1.47112	1.1621	127.38	1819.59	0.133369
255	0	0.752205	0.112792	1.47398	1.13042	126.855	1817.87	0.12482
256	0	0.756342	0.10912	1.47682	1.09874	126.333	1816.16	0.116644
257	0	0.760448	0.105484	1.47966	1.06707	125.816	1814.46	0.108833
258	0	0.764523	0.101886	1.48247	1.03542	125.304	1812.77	0.10138
259	0	0.768564	0.0983246	1.48527	1.00381	124.796	1811.09	0.094275
260	0	0.772571	0.0948022	1.48806	0.972241	124.293	1809.42	0.0875111
261	0	0.776543	0.091319	1.49082	0.940736	123.794	1807.76	0.0810798
262	0	0.780478	0.0878758	1.49357	0.909306	123.301	1806.11	0.0749728
263	0	0.784375	0.0844735	1.49629	0.877965	122.813	1804.48	0.0691819
264	0	0.788233	0.0811128	1.49899	0.846728	122.331	1802.85	0.0636987
265	0	0.789187	0.0777946	1.49955	0.812438	122.232	1802.52	0.0585753
266	0	0.789658	0.0745198	1.49975	0.778092	122.195	1802.4	0.0537403
267	0	0.790122	0.0712893	1.49996	0.744248	122.158	1802.27	0.0491753
268	0	0.79035	0.0681039	1.5	0.710689	122.151	1802.25	0.0448768
269	0	0.790463	0.0649647	1.49996	0.677562	122.158	1802.27	0.0408347
270	0	0.790573	0.0618726	1.49993	0.644987	122.163	1802.29	0.0370397
271	0	0.790791	0.0588288	1.49999	0.613062	122.153	1802.26	0.0334832
272	0	0.790898	0.0558341	1.49997	0.581605	122.157	1802.27	0.0301608
273	0	0.791003	0.0528898	1.49995	0.550719	122.159	1802.28	0.0270633
274	0	0.791106	0.0499971	1.49995	0.520411	122.16	1802.28	0.0241835
275	0	0.791207	0.047157	1.49994	0.49069	122.161	1802.28	0.0215138
276	0	0.791306	0.044371	1.49994	0.461565	122.161	1802.28	0.0190465
277	0	0.791403	0.0416403	1.49995	0.433046	122.16	1802.28	0.016774
278	0	0.791498	0.0389664	1.49996	0.405144	122.158	1802.27	0.0146887
279	0	0.79159	0.0363508	1.49997	0.377871	122.156	1802.27	0.0127826
280	0	0.791681	0.033795	1.49999	0.35124	122.153	1802.26	0.0110481
281	0	0.791725	0.0313007	1.49997	0.325247	122.155	1802.26	0.00947741
282	0	0.791811	0.0288697	1.5	0.299948	122.151	1802.25	0.00806229
283	0	0.791853	0.026504	1.49999	0.275323	122.153	1802.25	0.00679507
284	0	0.791893	0.0242056	1.49999	0.251412	122.153	1802.26	0.00566762
285	0	0.791933	0.0219768	1.49999	0.228236	122.153	1802.26	0.00467193
286	0	0.791971	0.0198201	1.49999	0.205817	122.152	1802.25	0.00379994
287	0	0.792007	0.0177382	1.5	0.184183	122.152	1802.25	0.00304355
288	0	0.792025	0.0157341	1.49999	0.163359	122.153	1802.25	0.00239465
289	0	0.792059	0.0138111	1.5	0.143386	122.151	1802.25	0.00184506
290	0	0.792075	0.0119729	1.5	0.124295	122.151	1802.25	0.00138662
291	0	0.79209	0.010224	1.5	0.106134	122.151	1802.25	0.0010111
292	0	0.792097	0.00856924	1.5	0.0889527	122.152	1802.25	0.000710296
293	0	0.792111	0.00701454	1.5	0.0728125	122.151	1802.25	0.000475939
294	0	0.792117	0.00556695	1.5	0.057785	122.151	1802.25	0.00029977
295	0	0.792123	0.00423524	1.5	0.0439612	122.151	1802.25	0.000173504
296	0	0.792126	0.00303068	1.5	0.0314577	122.151	1802.25	8.88449e-05
297	0	0.792128	0.00196858	1.5	0.0204332	122.151	1802.25	3.7485e-05
298	0	0.79213	0.0010716	1.5	0.0111228	122.151	1802.25	1.11074e-05
299	0	0.792131	0.000378874	1.5	0.00393258	122.151	1802.25	1.38849e-06
300	0	0.792131	0	1.5	0	122.151	1802.25	0
