i	j	x	r	mach	theta	press	temp	massflow
0	167	0.154539	1.01201	1.40721	8.89004	139.546	1857.91	11.4416
0	168	0.155401	1.01215	1.40892	8.94004	139.211	1856.89	11.4416
0	169	0.156263	1.01228	1.41062	8.99004	138.876	1855.87	11.4416
0	170	0.157125	1.01242	1.41233	9.04004	138.542	1854.85	11.4416
0	171	0.157986	1.01256	1.41403	9.09004	138.209	1853.83	11.4416
0	172	0.158848	1.0127	1.41573	9.14004	137.877	1852.81	11.4416
0	173	0.15971	1.01284	1.41743	9.19004	137.545	1851.79	11.4416
0	174	0.160571	1.01298	1.41914	9.24004	137.213	1850.77	11.4416
0	175	0.161432	1.01312	1.42084	9.29004	136.883	1849.75	11.4416
0	176	0.162293	1.01326	1.42254	9.34004	136.553	1848.73	11.4416
0	177	0.163154	1.0134	1.42424	9.39004	136.224	1847.71	11.4416
0	178	0.164015	1.01354	1.42594	9.44004	135.895	1846.69	11.4416
0	179	0.164876	1.01369	1.42764	9.49004	135.567	1845.67	11.4416
0	180	0.165737	1.01383	1.42934	9.54004	135.24	1844.65	11.4416
0	181	0.166863	1.01402	1.43157	9.60548	134.812	1843.32	11.4416
0	182	0.167723	1.01417	1.43328	9.65548	134.483	1842.29	11.4416
0	183	0.168584	1.01431	1.435	9.70548	134.155	1841.26	11.4416
0	184	0.169444	1.01446	1.43671	9.75548	133.827	1840.23	11.4416
0	185	0.170304	1.01461	1.43843	9.80548	133.5	1839.2	11.4416
0	186	0.171164	1.01476	1.44014	9.85548	133.174	1838.17	11.4416
0	187	0.172023	1.01491	1.44186	9.90548	132.848	1837.15	11.4416
0	188	0.172883	1.01506	1.44357	9.95548	132.523	1836.12	11.4416
0	189	0.173742	1.01521	1.44529	10.0055	132.198	1835.09	11.4416
0	190	0.174602	1.01536	1.447	10.0555	131.874	1834.06	11.4416
0	191	0.175461	1.01551	1.44872	10.1055	131.551	1833.03	11.4416
0	192	0.17632	1.01567	1.45043	10.1555	131.228	1832	11.4416
0	193	0.177179	1.01582	1.45214	10.2055	130.906	1830.98	11.4416
0	194	0.178038	1.01598	1.45386	10.2555	130.585	1829.95	11.4416
