i	j	x	r	mach	theta	press	temp
124	88	1.67119	0.353992	2.22491	7.61484	38.7546	1919.06
125	88	1.687	0.348517	2.23487	7.48188	38.1173	1911.81
126	88	1.70234	0.343207	2.2444	7.35635	37.5167	1904.88
127	88	1.71774	0.337872	2.25408	7.22724	36.9166	1897.88
128	88	1.73293	0.332609	2.26353	7.10218	36.339	1891.05
129	88	1.75303	0.32564	2.27613	6.93396	35.583	1881.99
130	88	1.7681	0.32041	2.28553	6.80909	35.0289	1875.26
131	88	1.78318	0.315177	2.29496	6.68297	34.4812	1868.52
132	88	1.79813	0.309982	2.30427	6.55888	33.9484	1861.88
133	88	1.82263	0.301466	2.31957	6.3541	33.0907	1851.03
134	88	1.83748	0.296294	2.32882	6.23049	32.5823	1844.49
135	88	1.85233	0.291124	2.33808	6.10641	32.0813	1837.97
136	88	1.86709	0.285974	2.34726	5.98357	31.5917	1831.53
137	88	1.89614	0.275831	2.36533	5.74103	30.6491	1818.9
138	88	1.91083	0.270691	2.37444	5.6188	30.1841	1812.55
139	88	1.92552	0.265548	2.38357	5.49614	29.7257	1806.23
140	88	1.94016	0.260417	2.39263	5.37454	29.2771	1799.96
141	88	1.95478	0.255282	2.40169	5.25256	28.8349	1793.72
142	88	1.97395	0.248544	2.41354	5.09338	28.267	1785.58
143	88	1.98856	0.243401	2.42256	4.97189	27.8417	1779.41
144	88	2.00314	0.23826	2.43155	4.85098	27.4243	1773.28
145	88	2.01771	0.233116	2.44053	4.73006	27.0136	1767.18
146	88	2.03226	0.22797	2.44948	4.60956	26.6102	1761.12
147	88	2.05655	0.219366	2.46439	4.40856	25.9511	1751.05
148	88	2.07111	0.214198	2.47331	4.28837	25.5647	1745.06
149	88	2.08567	0.209021	2.48222	4.16812	25.1843	1739.1
150	88	2.10021	0.20384	2.49111	4.04831	24.8107	1733.17
151	88	2.11477	0.198648	2.49998	3.92846	24.4428	1727.26
152	88	2.12931	0.19345	2.50884	3.80893	24.0813	1721.39
153	88	2.14445	0.188031	2.51804	3.68457	23.7112	1715.31
154	88	2.15903	0.182801	2.52688	3.56499	23.3607	1709.49
155	88	2.17362	0.177559	2.53571	3.4455	23.016	1703.69
156	88	2.18821	0.172307	2.54453	3.32616	22.6769	1697.92
157	88	2.20281	0.167042	2.55333	3.20688	22.3433	1692.18
158	88	2.21741	0.161763	2.56212	3.08768	22.0151	1686.47
159	88	2.23827	0.154207	2.57463	2.91768	21.556	1678.37
160	88	2.25294	0.148883	2.5834	2.79837	21.24	1672.72
161	88	2.26762	0.143542	2.59216	2.679	20.929	1667.09
162	88	2.28231	0.138185	2.60089	2.55973	20.6233	1661.5
163	88	2.29702	0.132811	2.60962	2.44037	20.3225	1655.93
164	88	2.31174	0.12742	2.61832	2.32097	20.0267	1650.39
165	88	2.33874	0.117501	2.63421	2.10212	19.4978	1640.33
166	88	2.35355	0.112045	2.64288	1.98232	19.2155	1634.88
167	88	2.36838	0.106566	2.65153	1.86195	18.9374	1629.44
168	88	2.38323	0.101069	2.66014	1.74181	18.6648	1624.05
