i	j	x,in	r,in	mach	theta	pres,psi	temp,R	Density,slug/ft3	massflow
53	1	0.126398	0.733324	1.09501	1.06652	210.294	2824.16	0.00406691	5.20577
54	1	0.131068	0.723381	1.09583	1.06482	210.085	2823.52	0.0040638	5.06393
55	1	0.135817	0.713315	1.09672	1.06208	209.859	2822.83	0.00406043	4.92231
56	1	0.140644	0.70313	1.09768	1.05832	209.617	2822.08	0.00405681	4.78106
57	1	0.145549	0.692833	1.0987	1.05357	209.359	2821.29	0.00405297	4.64035
58	1	0.15053	0.682429	1.09977	1.04787	209.087	2820.45	0.0040489	4.5003
59	1	0.155587	0.671923	1.10091	1.04124	208.801	2819.57	0.00404462	4.36105
60	1	0.160719	0.66132	1.1021	1.03371	208.501	2818.64	0.00404014	4.22274
61	1	0.165925	0.650625	1.10333	1.02527	208.188	2817.67	0.00403546	4.08548
62	1	0.171203	0.639844	1.10462	1.01594	207.863	2816.67	0.00403059	3.94942
63	1	0.176554	0.62898	1.10596	1.00572	207.525	2815.62	0.00402554	3.81465
64	1	0.181976	0.61804	1.10735	0.994601	207.176	2814.54	0.00402032	3.6813
65	1	0.187467	0.607028	1.10879	0.982569	206.815	2813.42	0.00401491	3.54947
66	1	0.193027	0.595949	1.11027	0.969601	206.443	2812.26	0.00400934	3.41927
67	1	0.198654	0.584807	1.11179	0.955667	206.059	2811.07	0.00400359	3.29079
68	1	0.204347	0.573607	1.11337	0.940727	205.664	2809.83	0.00399766	3.16413
69	1	0.210106	0.562353	1.11499	0.924737	205.258	2808.56	0.00399156	3.03938
70	1	0.215928	0.551051	1.11666	0.907642	204.84	2807.26	0.00398529	2.91662
71	1	0.221812	0.539704	1.11838	0.889378	204.41	2805.91	0.00397883	2.79594
72	1	0.227757	0.528317	1.12015	0.869877	203.968	2804.52	0.00397219	2.67741
73	1	0.233762	0.516895	1.12197	0.84906	203.513	2803.09	0.00396536	2.5611
74	1	0.239825	0.505442	1.12384	0.826842	203.046	2801.62	0.00395834	2.44709
75	1	0.245945	0.493962	1.12577	0.803128	202.566	2800.11	0.00395112	2.33543
76	1	0.252121	0.482459	1.12775	0.777819	202.073	2798.55	0.0039437	2.22618
77	1	0.25835	0.470938	1.12979	0.750805	201.566	2796.94	0.00393606	2.1194
78	1	0.264632	0.459402	1.13189	0.721971	201.046	2795.29	0.00392822	2.01515
79	1	0.270965	0.447857	1.13405	0.691193	200.511	2793.59	0.00392015	1.91346
80	1	0.277347	0.436305	1.13627	0.65834	199.961	2791.84	0.00391185	1.81437
81	1	0.283776	0.424751	1.13856	0.623271	199.396	2790.04	0.00390333	1.71793
82	1	0.290252	0.413199	1.14091	0.585839	198.816	2788.18	0.00389456	1.62417
83	1	0.296773	0.401653	1.14333	0.545885	198.221	2786.27	0.00388556	1.53311
84	1	0.303336	0.390115	1.14581	0.503242	197.61	2784.31	0.00387632	1.44479
85	1	0.30994	0.378591	1.14837	0.457731	196.983	2782.29	0.00386683	1.35921
86	1	0.316583	0.367083	1.15099	0.409158	196.34	2780.21	0.00385709	1.27641
87	1	0.323263	0.355595	1.15368	0.357317	195.682	2778.08	0.0038471	1.19638
88	1	0.329979	0.344131	1.15644	0.301981	195.007	2775.88	0.00383686	1.11915
89	1	0.336727	0.332693	1.15928	0.242905	194.316	2773.64	0.00382637	1.04471
90	1	0.343507	0.321286	1.16218	0.179816	193.609	2771.33	0.00381563	0.97307
91	1	0.350314	0.309912	1.16516	0.112411	192.887	2768.96	0.00380464	0.904224
92	1	0.357148	0.298575	1.16821	0.0403493	192.148	2766.53	0.00379339	0.838168
93	1	0.364043	0.287221	1.17118	0	191.43	2764.17	0.00378245	0.774564
94	1	0.370975	0.275913	1.1747	0	190.581	2761.36	0.0037695	0.713736
95	1	0.377884	0.264783	1.17941	0	189.447	2757.6	0.00375218	0.656317
96	1	0.384811	0.253794	1.1848	0	188.155	2753.3	0.00373243	0.602018
97	1	0.391775	0.242926	1.19059	0	186.773	2748.66	0.00371126	0.550663
98	1	0.398784	0.232171	1.19664	0	185.335	2743.81	0.00368919	0.502134
99	1	0.405842	0.221523	1.20289	0	183.857	2738.8	0.00366647	0.456338
100	1	0.41295	0.210981	1.20928	0	182.35	2733.65	0.00364327	0.413199
101	1	0.420107	0.200544	1.21582	0	180.819	2728.39	0.00361964	0.372646
102	1	0.427311	0.190213	1.22247	0	179.268	2723.03	0.00359566	0.334611
103	1	0.43456	0.179989	1.22924	0	177.698	2717.56	0.00357134	0.299028
104	1	0.441851	0.169873	1.23611	0	176.112	2712	0.00354672	0.265831
105	1	0.449182	0.159865	1.24309	0	174.511	2706.35	0.00352181	0.234953
106	1	0.456549	0.149966	1.25017	0	172.896	2700.61	0.00349665	0.20633
107	1	0.463951	0.140179	1.25733	0	171.27	2694.78	0.00347125	0.179895
108	1	0.471382	0.130504	1.26459	0	169.634	2688.88	0.00344564	0.155582
109	1	0.47884	0.120943	1.27193	0	167.99	2682.9	0.00341984	0.133325
110	1	0.48632	0.111498	1.27934	0	166.339	2676.86	0.00339387	0.113058
111	1	0.493819	0.102169	1.28683	0	164.682	2670.74	0.00336777	0.0947125
112	1	0.501333	0.0929592	1.29438	0	163.022	2664.57	0.00334154	0.0782231
113	1	0.508857	0.0838699	1.30199	0	161.36	2658.34	0.00331523	0.0635223
114	1	0.516387	0.0749029	1.30965	0	159.698	2652.06	0.00328885	0.0505428
115	1	0.523917	0.0660605	1.31736	0	158.037	2645.73	0.00326243	0.0392172
116	1	0.531443	0.0573447	1.32511	0	156.379	2639.36	0.003236	0.0294777
117	1	0.538959	0.0487577	1.33289	0	154.727	2632.97	0.00320958	0.0212566
118	1	0.546461	0.040302	1.34069	0	153.081	2626.54	0.0031832	0.0144858
119	1	0.553941	0.03198	1.34852	0	151.443	2620.09	0.0031569	0.00909733
120	1	0.561394	0.0237942	1.35635	0	149.815	2613.63	0.00313069	0.00502283
121	1	0.568814	0.0157476	1.36419	0	148.2	2607.17	0.0031046	0.00219403
122	1	0.576194	0.00784281	1.37202	0	146.597	2600.7	0.00307867	0.000542561
123	1	0.583514	9.92072e-05	1.38012	0	144.952	2594	0.00305198	8.6636e-08
124	1	0.583608	0	1.38012	0	144.952	2594	0.00305198	0

0	2	0.00034926	1	1.13371	0.0523852	200.596	2793.86	0.00392144	9.71968
1	2	0.000568215	0.999591	1.13345	0.0581287	200.659	2794.06	0.00392238	9.71178
2	2	0.000874711	0.999018	1.1331	0.0661265	200.746	2794.34	0.00392369	9.70073
3	2	0.00126873	0.99828	1.13265	0.0763363	200.857	2794.69	0.00392537	9.6865
4	2	0.00175024	0.997377	1.13211	0.088705	200.992	2795.12	0.0039274	9.66911
5	2	0.00231922	0.996308	1.13147	0.103169	201.15	2795.62	0.00392978	9.64853
6	2	0.00297564	0.995071	1.13075	0.119652	201.33	2796.19	0.0039325	9.62476
7	2	0.0037195	0.993668	1.12993	0.138072	201.531	2796.83	0.00393553	9.59778
8	2	0.00455075	0.992094	1.12904	0.158333	201.753	2797.54	0.00393888	9.5676
9	2	0.0054694	0.990351	1.12807	0.180334	201.994	2798.3	0.00394251	9.53418
10	2	0.00647541	0.988435	1.12703	0.203965	202.254	2799.12	0.00394642	9.49752
11	2	0.00756877	0.986346	1.12591	0.229107	202.531	2800	0.00395058	9.45761
12	2	0.00874946	0.984082	1.12474	0.255636	202.823	2800.92	0.00395498	9.41442
13	2	0.0100175	0.981641	1.12351	0.283423	203.129	2801.88	0.00395959	9.36795
14	2	0.0113728	0.979021	1.12223	0.312333	203.448	2802.89	0.00396439	9.31817
15	2	0.0128155	0.97622	1.12091	0.342229	203.779	2803.93	0.00396935	9.26508
16	2	0.0143455	0.973236	1.11955	0.372969	204.119	2805	0.00397446	9.20866
17	2	0.0159628	0.970067	1.11815	0.404409	204.466	2806.09	0.00397968	9.1489
18	2	0.0176674	0.966711	1.11674	0.436406	204.82	2807.2	0.003985	9.08578
19	2	0.0194593	0.963165	1.11531	0.468815	205.179	2808.32	0.00399037	9.0193
20	2	0.0213385	0.959427	1.11387	0.501492	205.539	2809.44	0.00399579	8.94946
21	2	0.0233051	0.955496	1.11243	0.534296	205.901	2810.57	0.00400121	8.87625
22	2	0.0253589	0.951369	1.11099	0.567088	206.262	2811.7	0.00400662	8.79968
23	2	0.0275001	0.947043	1.10957	0.599731	206.619	2812.81	0.00401198	8.71974
24	2	0.0297286	0.942518	1.10816	0.632092	206.972	2813.91	0.00401726	8.63646
25	2	0.0320444	0.93779	1.10679	0.664046	207.319	2814.98	0.00402245	8.54984
26	2	0.0344475	0.932859	1.10544	0.69547	207.657	2816.03	0.00402751	8.45992
27	2	0.0369378	0.927723	1.10414	0.726249	207.984	2817.04	0.00403241	8.36672
28	2	0.0395153	0.922381	1.10289	0.756274	208.3	2818.02	0.00403714	8.27028
29	2	0.0421801	0.916832	1.10169	0.785442	208.603	2818.96	0.00404166	8.17065
30	2	0.0449319	0.911074	1.10055	0.81366	208.89	2819.84	0.00404596	8.06788
31	2	0.0477709	0.905109	1.09948	0.840842	209.161	2820.68	0.00405001	7.96204
32	2	0.0506968	0.898935	1.09848	0.866908	209.415	2821.46	0.00405379	7.8532
33	2	0.0537096	0.892553	1.09755	0.891789	209.649	2822.18	0.00405728	7.74144
34	2	0.0568092	0.885965	1.09671	0.915423	209.862	2822.84	0.00406047	7.62686
35	2	0.0599956	0.87917	1.09595	0.937758	210.055	2823.43	0.00406335	7.50956
36	2	0.0632684	0.872172	1.09528	0.95875	210.225	2823.95	0.00406589	7.38964
